Date,Open,High,Low,Close,Adj Close,Volume
11/30/2018,168.380005,169.470001,167.539993,169.369995,163.830383,36722800
11/29/2018,167.990005,169.259995,166.820007,168.149994,162.650253,44885700
11/28/2018,164.619995,168.699997,163.470001,168.699997,163.182281,70141000
11/27/2018,162,163.850006,161.179993,163.440002,158.09433,36608100
11/26/2018,161.440002,162.970001,160.759995,162.889999,157.562302,42012600
11/23/2018,159.089996,160.839996,159.089996,159.210007,154.002701,23503700
11/21/2018,161.350006,161.970001,159.229996,160.369995,155.124741,42965800
11/20/2018,158.369995,161.380005,157.130005,159.160004,153.954269,102652800
11/19/2018,166.699997,166.899994,161.539993,162.059998,156.75943,67280500
11/16/2018,166.449997,168.309998,165.779999,167.5,162.021515,65390700
11/15/2018,164.899994,168.539993,163.460007,168.089996,162.592255,73254300
11/14/2018,168.119995,168.699997,164.25,165.199997,159.796738,75270700
11/13/2018,167.110001,169.479996,166,166.470001,161.025238,64128100
11/12/2018,170.320007,170.639999,166.179993,166.330002,160.889786,62578400
11/9/2018,172.830002,173.25,170.160004,171.520004,165.910049,50602700
11/8/2018,174.759995,175.300003,173.630005,174.460007,168.753906,40296500
11/7/2018,172.279999,175.580002,171.869995,175.580002,169.837265,51169600
11/6/2018,168.970001,171.190002,168.720001,170.240005,164.671921,34410400
11/5/2018,169.600006,169.660004,167.080002,168.960007,163.433792,39573500
11/2/2018,171.529999,172.550003,168.220001,169.380005,163.840073,75966800
11/1/2018,170.070007,172.240005,168.779999,172.059998,166.432404,52706800
10/31/2018,168.619995,171.25,168.539993,169.820007,164.265671,73828600
10/30/2018,162.75,166.039993,162.009995,165.919998,160.493225,92584000
10/29/2018,169.210007,169.860001,160.089996,163.229996,157.891205,111871900
10/26/2018,165.199997,169.960007,164.229996,166.660004,161.209,130970900
10/25/2018,167.910004,172.080002,167.160004,171.059998,165.465118,83481100
10/24/2018,173.070007,173.360001,165.039993,165.339996,159.932144,102997400
10/23/2018,170.639999,174.130005,168.820007,173.270004,167.602844,77567000
10/22/2018,174.059998,175.25,172.589996,173.910004,168.221909,52909300
10/19/2018,174.580002,176.070007,172.389999,173.020004,167.361053,82923700
10/18/2018,176.619995,176.679993,172.440002,173.179993,167.515747,82486200
10/17/2018,178.080002,178.259995,175.470001,177.289993,171.491302,66987600
10/16/2018,174.020004,177.649994,173.699997,177.220001,171.423615,71979700
10/15/2018,173.710007,174.039993,171.559998,172.210007,166.577499,64885300
10/12/2018,174.169998,174.860001,170.929993,174.320007,168.618484,102078400
10/11/2018,171.020004,173.399994,167.809998,169.600006,164.052872,143084500
10/10/2018,178.509995,178.619995,171.5,171.729996,166.11319,114471100
10/9/2018,179.179993,181.020004,178.75,179.630005,173.754822,49097900
10/8/2018,179.520004,180.639999,176.929993,179.050003,173.193771,66864500
10/5/2018,182.360001,182.970001,178.429993,180.149994,174.257767,83325600
10/4/2018,185.199997,185.320007,181.059998,182.380005,176.414886,80557300
10/3/2018,186.529999,186.970001,185.660004,185.949997,179.868118,29128700
10/2/2018,186.009995,187.179993,185.320007,185.75,179.674637,25618600
10/1/2018,186.869995,187.529999,185.699997,186.169998,180.080887,27371300
9/28/2018,185.309998,186.279999,184.970001,185.789993,179.713333,28076800
9/27/2018,185.020004,186.490005,184.919998,185.830002,179.751999,33113300
9/26/2018,184.300003,185.990005,183.910004,184.270004,178.243027,36210600
9/25/2018,183.809998,184.279999,183.179993,184.139999,178.11731,25277500
9/24/2018,182.050003,183.960007,181.300003,183.889999,177.875458,34945600
9/21/2018,185.220001,185.479996,183.479996,183.710007,177.382172,38605400
9/20/2018,183.960007,184.970001,183.520004,184.720001,178.357376,33295800
9/19/2018,182.869995,183.300003,181.509995,182.699997,176.406952,31843400
9/18/2018,181.490005,183.729996,181.399994,182.839996,176.542114,31877300
9/17/2018,183.679993,183.809998,181.169998,181.339996,175.093765,33071200
9/14/2018,184.660004,184.949997,183.259995,183.990005,177.652512,31224100
9/13/2018,183.720001,184.880005,183.639999,184.529999,178.173904,31133200
9/12/2018,182.850006,182.979996,181.009995,182.580002,176.291061,36204000
9/11/2018,180.990005,183.419998,180.520004,183.119995,176.812454,30116500
9/10/2018,182.149994,182.25,180.729996,181.720001,175.460693,26132000
9/7/2018,180.5,182.669998,180.440002,181.110001,174.871704,46629500
9/6/2018,183.529999,183.75,180.580002,181.809998,175.547592,46091400
9/5/2018,185.520004,185.550003,182.820007,183.449997,177.131088,42623300
9/4/2018,186.080002,186.399994,184.850006,185.850006,179.448456,29063500
8/31/2018,186.179993,187.179993,185.979996,186.649994,180.220856,28653200
8/30/2018,186.380005,187.520004,185.789993,186.410004,179.989166,29315500
8/29/2018,184.929993,186.839996,184.860001,186.740005,180.307755,29175600
8/28/2018,184.830002,185.020004,184.220001,184.610001,178.251144,20277000
8/27/2018,183.399994,184.339996,183.110001,184.339996,177.990448,29343600
8/24/2018,181.399994,182.630005,181.360001,182.479996,176.194504,23136100
8/23/2018,180.740005,182.050003,180.5,180.800003,174.572403,25776200
8/22/2018,179.979996,181.270004,179.75,181.059998,174.823395,18042400
8/21/2018,180.240005,181.440002,180.130005,180.360001,174.147522,26258700
8/20/2018,180.259995,180.330002,179,179.699997,173.510284,24939000
8/17/2018,179.350006,180.309998,178.270004,179.860001,173.664734,36092600
8/16/2018,180.610001,180.990005,179.470001,179.820007,173.626175,27711800
8/15/2018,180.009995,180.580002,178.119995,179.229996,173.056458,58528000
8/14/2018,181.009995,181.660004,180.039993,181.449997,175.199982,20913000
8/13/2018,180.850006,182.009995,180.240005,180.320007,174.108917,26089200
8/10/2018,180.679993,181.220001,179.839996,180.520004,174.302032,33818500
8/9/2018,181.910004,182.630005,181.639999,181.910004,175.64418,18852900
8/8/2018,181.550003,182.350006,181.059998,182.020004,175.750381,22680700
8/7/2018,181.649994,182.139999,181.259995,181.800003,175.537918,29895700
8/6/2018,179.960007,181.190002,179.740005,181.139999,174.900681,24808800
8/3/2018,179.869995,180.089996,179.080002,180.080002,173.877182,28934400
8/2/2018,175.869995,179.740005,175.789993,179.529999,173.346161,47178200
8/1/2018,176.860001,177.649994,176.100006,177.119995,171.019104,37101900
7/31/2018,175.800003,177.130005,174.820007,176.449997,170.372223,47285100
7/30/2018,177.630005,177.729996,174.270004,175.110001,169.078354,60193000
7/27/2018,181.190002,181.309998,176.600006,177.619995,171.501923,59456100
7/26/2018,180.339996,180.919998,179.809998,180.050003,173.848221,40873500
7/25/2018,180.380005,182.929993,180.289993,182.820007,176.522812,35026600
7/24/2018,181.410004,182.050003,179.559998,180.300003,174.089645,36900300
7/23/2018,178.460007,179.639999,177.740005,179.559998,173.375092,22184700
